Identifiant,Nom spectacle,Nom spectacle + [identifiant],URL,Lien image,Heure début,Heure fin,Durée,Lieu,Salle,Type Public,Jour relâche,Type,04/07/2025,05/07/2025,06/07/2025,07/07/2025,08/07/2025,09/07/2025,10/07/2025,11/07/2025,12/07/2025,13/07/2025,14/07/2025,15/07/2025,16/07/2025,17/07/2025,18/07/2025,19/07/2025,20/07/2025,21/07/2025,22/07/2025,23/07/2025,24/07/2025,25/07/2025,26/07/2025,Compagnie_website,Compagnie_instagram,Compagnie_facebook,Tarif_plein,Tarif_abonne,Tarif_enfant,Tarif_reduit,Entree_libre
0,Données mises à jour le 02 juillet 2025 à 22h00,Données mises à jour le 02 juillet 2025 à 22h00 [0],,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,
5697,Imprenable,Imprenable [5697],http://www.festivaloffavignon.com/spectacles/5697-imprenable,https://www.festivaloffavignon.com/data/spectacles/5697-r94dsUHyhU7wRo9zLgcg-catalogue.png,11:00:00,12:00:00,1:00:00,3 RAISINS,3 Raisins,Tout public à partir de 7 ans,Mercredi,Théâtre contemporain,False,False,False,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,https://www.naylcreations.com/,https://www.instagram.com/nayl_crea,,17€,12€,,,
5493,Les Naufragés de la Lune,Les Naufragés de la Lune [5493],http://www.festivaloffavignon.com/spectacles/5493-les-naufrags-de-la-lune,https://www.festivaloffavignon.com/data/spectacles/5493-R6etMpojf37iCbpArMJ0-catalogue.png,20:15:00,21:30:00,1:15:00,HUMANUM,Humanum,Tout public à partir de 12 ans,Mercredi,Théâtre contemporain,False,True,True,True,True,False,True,True,True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,https://www.lesillusionsdupoulpe.fr,,,17€,12€,,,
5664,Hold up et bras cassés,Hold up et bras cassés [5664],http://www.festivaloffavignon.com/spectacles/5664-hold-up-et-bras-casss,https://www.festivaloffavignon.com/data/spectacles/5664-Ic1PiXo30SPhgAB2xCgh-catalogue.jpg,12:25:00,13:45:00,1:20:00,PARIS (LE),Salle 1,Tout public à partir de 14 ans,,Comédie,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,,19€,"13,5€",14€,,
7230,Françé,Françé [7230],http://www.festivaloffavignon.com/spectacles/7230-fran,https://www.festivaloffavignon.com/data/spectacles/7230-XFpIKTUpF7ThCA6WGxRc-catalogue.jpg,11:00:00,12:15:00,1:15:00,HALLES (THÉÂTRE DES),Chapitre,Tout public à partir de 12 ans,Mercredi,Théâtre,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,https://www.enelle.org,https://www.instagram.com/laminediagne_enellecie/,https://www.facebook.com/enellecielaminediagne/?locale=fr_FR,23€,15€,,,
7639,Shadow Kingdom (Le Royaume des Ombres),Shadow Kingdom (Le Royaume des Ombres) [7639],http://www.festivaloffavignon.com/spectacles/7639-shadow-kingdom-le-royaume-des-ombres,https://www.festivaloffavignon.com/data/spectacles/7639-uF2QDIcfe9OTmhAQ521v-catalogue.jpg,10:05:00,11:00:00,0:55:00,BUFFON (LE) / LUNA THÉÂTRES,BUFFON,Tout public à partir de 6 ans,Mercredi,Arts de la marionnette,False,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,https://www.mochinosha.com,,,22€,15€,10€,15€,
5779,Dans la peau de Cyrano,Dans la peau de Cyrano [5779],http://www.festivaloffavignon.com/spectacles/5779-dans-la-peau-de-cyrano,https://www.festivaloffavignon.com/data/spectacles/5779-44HEK2flgdzd7UtMrPMF-catalogue.jpg,13:45:00,15:10:00,1:25:00,CORPS SAINTS (THÉÂTRE DES),Salle 3,Tout public à partir de 10 ans,,Seul·e en scène,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,https://www.pony-production.com/,,,22€,15€,15€,,
5538,Vermeer et son faussaire,Vermeer et son faussaire [5538],http://www.festivaloffavignon.com/spectacles/5538-vermeer-et-son-faussaire,https://www.festivaloffavignon.com/data/spectacles/5538-4kg7ePqBKNr2Q7A4VIPs-catalogue.jpg,18:50:00,20:00:00,1:10:00,ORIFLAMME (L'),L'ORIFLAMME,Tout public à partir de 10 ans,Mercredi,Théâtre contemporain,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,True,True,,,,22€,12€,12€,15€,
7054,Les Grands Rôles,Les Grands Rôles [7054],http://www.festivaloffavignon.com/spectacles/7054-les-grands-rles,https://www.festivaloffavignon.com/data/spectacles/7054-msjjjkLNJSJI32FZrlIc-catalogue.jpg,15:25:00,16:55:00,1:30:00,PETIT LOUVRE (LE) (Chapelle des Templiers) – Mois Molière,CHAPELLE DES TEMPLIERS,Tout public à partir de 7 ans,,Théâtre classique,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,https://lesmauvaiseleves.fr/,,https://www.facebook.com/lesmauvaiseleves,23€,10€,10€,10€,
7631,"Sois polie, dis merci","Sois polie, dis merci [7631]",http://www.festivaloffavignon.com/spectacles/7631-sois-polie-dis-merci,https://www.festivaloffavignon.com/data/spectacles/7631-fKzLjL50FiN2Jc78CtDC-catalogue.png,12:05:00,13:05:00,1:00:00,AUTRE CARNOT (THÉÂTRE L'),Salle 2 - Salle Lulu,Tout public à partir de 16 ans,,Stand-up,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,https://lecitronbleu.fr/,https://www.instagram.com/le_citron_bleu_,https://www.facebook.com/lecitronbleu,18€,"12,5€",,"12,5€",
